ROOT: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2
DEVICE: cuda
TOKENIZER_PATH: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenizer/my_trained_tokenizer.json
TOKENIZED_DIR: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenized_cache
USE_AMP: False
USE_LR_SCHEDULER: True
EPOCHS: 5
BATCH_SIZE: 64
GRAD_ACCUM_STEPS: 8
EFFECTIVE_BATCH_SIZE: 512
TRAIN_CHUNK_SIZE: 500000
WARMUP_STEPS: 8000
BASE_LR: 0.0005
SHUFFLE_CHUNKS: False
CHUNK_SHUFFLE_SEED: 42
Loading tokenized dataset from disk...
Train examples: 4508785
Validation examples: 3000
Test examples: 3003
Loaded full checkpoint from: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/checkpoints/lab2_en_de_latest.pt
Restored model / optimizer / scheduler / scaler state.
Epoch to resume: 4
Resume offset within epoch: 4000000
Samples trained so far: 4000000
Current LR: 2.311077e-04
Checkpoint batch_size: 64
Checkpoint effective_batch_size: 512
Completed chunks in current epoch: 8
Smoke test loss: 3.215855360031128

========== EN→DE Epoch 4/5 ==========
Resuming from training example offset 4000000
Epoch chunk progress: completed 8/10 | remaining 2
Training chunk 1/2 (global 9/10) | 4000000:4500000 / 4508785
Batch 7000 | LR 2.254159e-04 | Loss 1.8960 | AccumStep 1/8
Batch 7100 | LR 2.253808e-04 | Loss 2.0530 | AccumStep 5/8
Batch 7200 | LR 2.253427e-04 | Loss 2.1445 | AccumStep 1/8
Batch 7300 | LR 2.253075e-04 | Loss 1.9388 | AccumStep 5/8
Batch 7400 | LR 2.252695e-04 | Loss 2.1269 | AccumStep 1/8
Batch 7500 | LR 2.252344e-04 | Loss 1.8799 | AccumStep 5/8
Batch 7600 | LR 2.251963e-04 | Loss 2.0604 | AccumStep 1/8
Batch 7700 | LR 2.251613e-04 | Loss 1.8716 | AccumStep 5/8
Batch 7800 | LR 2.251233e-04 | Loss 2.1482 | AccumStep 1/8
  chunk_loss = 2.0644 | lr = 2.251175e-04 | batch_size = 64 | effective_batch_size = 512 | optimizer_steps = 977
Training chunk 2/10 (global 2/10) | 500000:1000000 / 4508785
Batch 0 | LR 2.251175e-04 | Loss 1.8114 | AccumStep 1/8
Batch 100 | LR 2.250824e-04 | Loss 1.9314 | AccumStep 5/8
Batch 200 | LR 2.250445e-04 | Loss 1.9229 | AccumStep 1/8
Batch 300 | LR 2.250095e-04 | Loss 1.7380 | AccumStep 5/8
Batch 400 | LR 2.249716e-04 | Loss 1.8070 | AccumStep 1/8
Batch 500 | LR 2.249366e-04 | Loss 2.0087 | AccumStep 5/8
Batch 600 | LR 2.248987e-04 | Loss 1.9328 | AccumStep 1/8
Batch 700 | LR 2.248638e-04 | Loss 1.8743 | AccumStep 5/8
Batch 800 | LR 2.248260e-04 | Loss 1.8490 | AccumStep 1/8
Batch 900 | LR 2.247911e-04 | Loss 1.8671 | AccumStep 5/8
Batch 1000 | LR 2.247533e-04 | Loss 1.8445 | AccumStep 1/8
Batch 1100 | LR 2.247184e-04 | Loss 1.7576 | AccumStep 5/8
Batch 1200 | LR 2.246806e-04 | Loss 1.8879 | AccumStep 1/8
Batch 1300 | LR 2.246458e-04 | Loss 1.7732 | AccumStep 5/8
Batch 1400 | LR 2.246081e-04 | Loss 1.6734 | AccumStep 1/8
Batch 1500 | LR 2.245733e-04 | Loss 1.7958 | AccumStep 5/8
Batch 1600 | LR 2.245356e-04 | Loss 1.7717 | AccumStep 1/8
Batch 1700 | LR 2.245008e-04 | Loss 1.6645 | AccumStep 5/8
Batch 1800 | LR 2.244632e-04 | Loss 1.6596 | AccumStep 1/8
Batch 1900 | LR 2.244285e-04 | Loss 1.6215 | AccumStep 5/8
Batch 2000 | LR 2.243908e-04 | Loss 1.8957 | AccumStep 1/8
Batch 2100 | LR 2.243561e-04 | Loss 1.6606 | AccumStep 5/8
Batch 2200 | LR 2.243186e-04 | Loss 1.8707 | AccumStep 1/8
Batch 2300 | LR 2.242839e-04 | Loss 1.7556 | AccumStep 5/8
Batch 2400 | LR 2.242464e-04 | Loss 1.9236 | AccumStep 1/8
Batch 2500 | LR 2.242117e-04 | Loss 1.9086 | AccumStep 5/8
Batch 2600 | LR 2.241742e-04 | Loss 1.9373 | AccumStep 1/8
Batch 2700 | LR 2.241396e-04 | Loss 1.7232 | AccumStep 5/8
Batch 2800 | LR 2.241022e-04 | Loss 1.7397 | AccumStep 1/8
Batch 2900 | LR 2.240676e-04 | Loss 1.7679 | AccumStep 5/8
Batch 3000 | LR 2.240302e-04 | Loss 1.8247 | AccumStep 1/8
Batch 3100 | LR 2.239956e-04 | Loss 1.6853 | AccumStep 5/8
Batch 3200 | LR 2.239582e-04 | Loss 1.9081 | AccumStep 1/8
Batch 3300 | LR 2.239237e-04 | Loss 2.0071 | AccumStep 5/8
Batch 3400 | LR 2.238864e-04 | Loss 1.9174 | AccumStep 1/8
Batch 3500 | LR 2.238519e-04 | Loss 1.8976 | AccumStep 5/8
Batch 3600 | LR 2.238146e-04 | Loss 1.7589 | AccumStep 1/8
Batch 3700 | LR 2.237802e-04 | Loss 1.9066 | AccumStep 5/8
Batch 3800 | LR 2.237429e-04 | Loss 1.6530 | AccumStep 1/8
Batch 3900 | LR 2.237085e-04 | Loss 1.8319 | AccumStep 5/8
Batch 4000 | LR 2.236712e-04 | Loss 1.6165 | AccumStep 1/8
Batch 4100 | LR 2.236369e-04 | Loss 1.8617 | AccumStep 5/8
Batch 4200 | LR 2.235996e-04 | Loss 1.7066 | AccumStep 1/8
Batch 4300 | LR 2.235653e-04 | Loss 1.6802 | AccumStep 5/8
Batch 4400 | LR 2.235281e-04 | Loss 1.9047 | AccumStep 1/8
Batch 4500 | LR 2.234938e-04 | Loss 1.8914 | AccumStep 5/8
Batch 4600 | LR 2.234567e-04 | Loss 1.7743 | AccumStep 1/8
Batch 4700 | LR 2.234224e-04 | Loss 1.6502 | AccumStep 5/8
Batch 4800 | LR 2.233853e-04 | Loss 1.7697 | AccumStep 1/8
Batch 4900 | LR 2.233511e-04 | Loss 1.6628 | AccumStep 5/8
Batch 5000 | LR 2.233140e-04 | Loss 1.9650 | AccumStep 1/8
